index,name,formula,mz,rt
1120,taurocholic acid M23,C26H45NO7S,537.3611650000013,1.96
1121,taurocholic acid M24,C26H45NO7S,538.3645200000013,1.96
1122,taurocholic acid M25,C26H45NO7S,539.3678750000014,1.96
1123,taurocholic acid M26,C26H45NO7S,540.3712300000014,1.96
1124,deoxycholic acid M0,C24H40O4,391.285,1.96
1125,deoxycholic acid M1,C24H40O4,392.288355,1.96
1126,deoxycholic acid M2,C24H40O4,393.29171,1.96
1127,deoxycholic acid M3,C24H40O4,394.295065,1.96
1128,deoxycholic acid M4,C24H40O4,395.29842,1.96
1129,deoxycholic acid M5,C24H40O4,396.301775,1.96
1130,deoxycholic acid M6,C24H40O4,397.30513,1.96
1131,deoxycholic acid M7,C24H40O4,398.308485,1.96
1132,deoxycholic acid M8,C24H40O4,399.31184,1.96
1133,deoxycholic acid M9,C24H40O4,400.315195,1.96
1134,deoxycholic acid M10,C24H40O4,401.31855,1.96
1135,deoxycholic acid M11,C24H40O4,402.321905,1.96
1136,deoxycholic acid M12,C24H40O4,403.32526,1.96
1137,deoxycholic acid M13,C24H40O4,404.328615,1.96
1138,deoxycholic acid M14,C24H40O4,405.33197,1.96
1139,deoxycholic acid M15,C24H40O4,406.335325,1.96
1140,deoxycholic acid M16,C24H40O4,407.33868,1.96
1141,deoxycholic acid M17,C24H40O4,408.342035,1.96
1142,deoxycholic acid M18,C24H40O4,409.34539,1.96
1143,deoxycholic acid M19,C24H40O4,410.348745,1.96
1144,deoxycholic acid M20,C24H40O4,411.3521,1.96
1145,deoxycholic acid M21,C24H40O4,412.355455,1.96
1146,deoxycholic acid M22,C24H40O4,413.35881,1.96
1147,deoxycholic acid M23,C24H40O4,414.362165,1.96
1148,deoxycholic acid M24,C24H40O4,415.36552,1.96
1149,lithocholic acid M0,C24H40O3,375.29,1.88
1150,lithocholic acid M1,C24H40O3,376.293355,1.88
1151,lithocholic acid M2,C24H40O3,377.29671,1.88
1152,lithocholic acid M3,C24H40O3,378.300065,1.88
1153,lithocholic acid M4,C24H40O3,379.30342,1.88
1154,lithocholic acid M5,C24H40O3,380.306775,1.88
1155,lithocholic acid M6,C24H40O3,381.31013,1.88
1156,lithocholic acid M7,C24H40O3,382.313485,1.88
1157,lithocholic acid M8,C24H40O3,383.31684,1.88
1158,lithocholic acid M9,C24H40O3,384.320195,1.88
1159,lithocholic acid M10,C24H40O3,385.32355,1.88
1160,lithocholic acid M11,C24H40O3,386.326905,1.88
1161,lithocholic acid M12,C24H40O3,387.33026,1.88
1162,lithocholic acid M13,C24H40O3,388.333615,1.88
1163,lithocholic acid M14,C24H40O3,389.33697,1.88
1164,lithocholic acid M15,C24H40O3,390.340325,1.88
1165,lithocholic acid M16,C24H40O3,391.34368,1.88
1166,lithocholic acid M17,C24H40O3,392.347035,1.88
1167,lithocholic acid M18,C24H40O3,393.35039,1.88
1168,lithocholic acid M19,C24H40O3,394.353745,1.88
1169,lithocholic acid M20,C24H40O3,395.3571,1.88
1170,lithocholic acid M21,C24H40O3,396.360455,1.88
1171,lithocholic acid M22,C24H40O3,397.36381,1.88
1172,lithocholic acid M23,C24H40O3,398.367165,1.88
1173,lithocholic acid M24,C24H40O3,399.37052,1.88
1174,propionic acid M0,C3H6O2,73.0295,3.59
1175,propionic acid M1,C3H6O2,74.032855,3.59
1176,propionic acid M2,C3H6O2,75.03621,3.59
1177,propionic acid M3,C3H6O2,76.039565,3.59
1178,butyric acid M0,C4H8O2,87.0452,2.96
1179,butyric acid M1,C4H8O2,88.048555,2.96
1180,butyric acid M2,C4H8O2,89.05190999999999,2.96
1181,butyric acid M3,C4H8O2,90.05526499999999,2.96
1182,butyric acid M4,C4H8O2,91.05861999999999,2.96
1183,valeric acid isomers M0,C5H10O2,101.061,2.35
1184,valeric acid isomers M1,C5H10O2,102.064355,2.35
1185,valeric acid isomers M2,C5H10O2,103.06771,2.35
1186,valeric acid isomers M3,C5H10O2,104.071065,2.35
1187,valeric acid isomers M4,C5H10O2,105.07442,2.35
1188,valeric acid isomers M5,C5H10O2,106.077775,2.35
1189,caproic acid M0,C6H12O2,115.076,2.05
1190,caproic acid M1,C6H12O2,116.07935499999999,2.05
1191,caproic acid M2,C6H12O2,117.08270999999999,2.05
1192,caproic acid M3,C6H12O2,118.08606499999999,2.05
1193,caproic acid M4,C6H12O2,119.08941999999999,2.05
1194,caproic acid M5,C6H12O2,120.09277499999999,2.05
1195,caproic acid M6,C6H12O2,121.09612999999999,2.05
1196,mycophenolic acid M0,C17H20O6,319.119,1.97
1197,mycophenolic acid M1,C17H20O6,320.122355,1.97
1198,mycophenolic acid M2,C17H20O6,321.12571,1.97
1199,mycophenolic acid M3,C17H20O6,322.129065,1.97
1200,mycophenolic acid M4,C17H20O6,323.13242,1.97
1201,mycophenolic acid M5,C17H20O6,324.135775,1.97
1202,mycophenolic acid M6,C17H20O6,325.13913,1.97
1203,mycophenolic acid M7,C17H20O6,326.142485,1.97
1204,mycophenolic acid M8,C17H20O6,327.14584,1.97
1205,mycophenolic acid M9,C17H20O6,328.149195,1.97
1206,mycophenolic acid M10,C17H20O6,329.15255,1.97
1207,mycophenolic acid M11,C17H20O6,330.155905,1.97
1208,mycophenolic acid M12,C17H20O6,331.15926,1.97
1209,mycophenolic acid M13,C17H20O6,332.162615,1.97
1210,mycophenolic acid M14,C17H20O6,333.16597,1.97
1211,mycophenolic acid M15,C17H20O6,334.169325,1.97
1212,mycophenolic acid M16,C17H20O6,335.17268,1.97
1213,mycophenolic acid M17,C17H20O6,336.176035,1.97
1214,xanthine M0,C5H4N4O2,151.026,5.55
1215,xanthine M1,C5H4N4O2,152.029355,5.55
1216,xanthine M2,C5H4N4O2,153.03271,5.55
1217,xanthine M3,C5H4N4O2,154.036065,5.55
1218,xanthine M4,C5H4N4O2,155.03942,5.55
1219,xanthine M5,C5H4N4O2,156.042775,5.55
1220,thymidine M0,C10H14N2O5,241.083,2.6
1221,thymidine M1,C10H14N2O5,242.086355,2.6
1222,thymidine M2,C10H14N2O5,243.08971,2.6
1223,thymidine M3,C10H14N2O5,244.093065,2.6
1224,thymidine M4,C10H14N2O5,245.09642,2.6
1225,thymidine M5,C10H14N2O5,246.099775,2.6
1226,thymidine M6,C10H14N2O5,247.10313,2.6
1227,thymidine M7,C10H14N2O5,248.106485,2.6
1228,thymidine M8,C10H14N2O5,249.10984,2.6
1229,thymidine M9,C10H14N2O5,250.113195,2.6
1230,thymidine M10,C10H14N2O5,251.11655,2.6
1231,uracil M0,C4H4N2O2,111.02,3.4
1232,uracil M1,C4H4N2O2,112.023355,3.4
1233,uracil M2,C4H4N2O2,113.02671,3.4
1234,uracil M3,C4H4N2O2,114.030065,3.4
1235,uracil M4,C4H4N2O2,115.03341999999999,3.4
1236,thymine M0,C5H6N2O2,125.036,2.52
1237,thymine M1,C5H6N2O2,126.039355,2.52
1238,thymine M2,C5H6N2O2,127.04271,2.52
1239,thymine M3,C5H6N2O2,128.046065,2.52
1240,thymine M4,C5H6N2O2,129.04942,2.52
1241,thymine M5,C5H6N2O2,130.052775,2.52
1242,3-methyl-2-oxobutyrate M0,C5H8O3,115.04,2.21
1243,3-methyl-2-oxobutyrate M1,C5H8O3,116.043355,2.21
1244,3-methyl-2-oxobutyrate M2,C5H8O3,117.04671,2.21
1245,3-methyl-2-oxobutyrate M3,C5H8O3,118.050065,2.21
1246,3-methyl-2-oxobutyrate M4,C5H8O3,119.05342,2.21
1247,3-methyl-2-oxobutyrate M5,C5H8O3,120.056775,2.21
1248,uridine M0,C9H12N2O6,243.062,4.16
1249,uridine M1,C9H12N2O6,244.065355,4.16
1250,uridine M2,C9H12N2O6,245.06871,4.16
1251,uridine M3,C9H12N2O6,246.072065,4.16
1252,uridine M4,C9H12N2O6,247.07542,4.16
1253,uridine M5,C9H12N2O6,248.078775,4.16
1254,uridine M6,C9H12N2O6,249.08213,4.16
1255,uridine M7,C9H12N2O6,250.085485,4.16
1256,uridine M8,C9H12N2O6,251.08884,4.16
1257,uridine M9,C9H12N2O6,252.092195,4.16
1258,deoxyinosine M0,C10H12N4O4,251.079,3.65
1259,deoxyinosine M1,C10H12N4O4,252.082355,3.65
1260,deoxyinosine M2,C10H12N4O4,253.08571,3.65
1261,deoxyinosine M3,C10H12N4O4,254.089065,3.65
1262,deoxyinosine M4,C10H12N4O4,255.09242,3.65
1263,deoxyinosine M5,C10H12N4O4,256.095775,3.65
1264,deoxyinosine M6,C10H12N4O4,257.09913,3.65
1265,deoxyinosine M7,C10H12N4O4,258.102485,3.65
1266,deoxyinosine M8,C10H12N4O4,259.10584,3.65
1267,deoxyinosine M9,C10H12N4O4,260.109195,3.65
1268,deoxyinosine M10,C10H12N4O4,261.11255,3.65
1269,indole-3-acetate M0,C10H9NO2,174.056,4.19
1270,indole-3-acetate M1,C10H9NO2,175.059355,4.19
1271,indole-3-acetate M2,C10H9NO2,176.06271,4.19
1272,indole-3-acetate M3,C10H9NO2,177.066065,4.19
1273,indole-3-acetate M4,C10H9NO2,178.06942,4.19
1274,indole-3-acetate M5,C10H9NO2,179.072775,4.19
1275,indole-3-acetate M6,C10H9NO2,180.07613,4.19
1276,indole-3-acetate M7,C10H9NO2,181.079485,4.19
1277,indole-3-acetate M8,C10H9NO2,182.08284,4.19
1278,indole-3-acetate M9,C10H9NO2,183.086195,4.19
1279,indole-3-acetate M10,C10H9NO2,184.08955,4.19
1280,indole-3-carboxyaldehyde M0,C9H7NO,144.046,2.23
1281,indole-3-carboxyaldehyde M1,C9H7NO,145.049355,2.23
1282,indole-3-carboxyaldehyde M2,C9H7NO,146.05271,2.23
1283,indole-3-carboxyaldehyde M3,C9H7NO,147.056065,2.23
1284,indole-3-carboxyaldehyde M4,C9H7NO,148.05942,2.23
1285,indole-3-carboxyaldehyde M5,C9H7NO,149.062775,2.23
1286,indole-3-carboxyaldehyde M6,C9H7NO,150.06613,2.23
1287,indole-3-carboxyaldehyde M7,C9H7NO,151.069485,2.23
1288,indole-3-carboxyaldehyde M8,C9H7NO,152.07283999999999,2.23
1289,indole-3-carboxyaldehyde M9,C9H7NO,153.07619499999998,2.23
1290,indole-3-propionate M0,C11H11NO2,188.072,2.81
1291,indole-3-propionate M1,C11H11NO2,189.075355,2.81
1292,indole-3-propionate M2,C11H11NO2,190.07871,2.81
1293,indole-3-propionate M3,C11H11NO2,191.082065,2.81
1294,indole-3-propionate M4,C11H11NO2,192.08542,2.81
1295,indole-3-propionate M5,C11H11NO2,193.088775,2.81
1296,indole-3-propionate M6,C11H11NO2,194.09213,2.81
1297,indole-3-propionate M7,C11H11NO2,195.095485,2.81
1298,indole-3-propionate M8,C11H11NO2,196.09884,2.81
1299,indole-3-propionate M9,C11H11NO2,197.102195,2.81
1300,indole-3-propionate M10,C11H11NO2,198.10555,2.81
1301,indole-3-propionate M11,C11H11NO2,199.108905,2.81
1302,3-methylindole M0,C9H9N,130.066,2.05
1303,3-methylindole M1,C9H9N,131.069355,2.05
1304,3-methylindole M2,C9H9N,132.07271,2.05
1305,3-methylindole M3,C9H9N,133.076065,2.05
1306,3-methylindole M4,C9H9N,134.07942,2.05
1307,3-methylindole M5,C9H9N,135.082775,2.05
1308,3-methylindole M6,C9H9N,136.08613,2.05
1309,3-methylindole M7,C9H9N,137.089485,2.05
1310,3-methylindole M8,C9H9N,138.09284,2.05
1311,3-methylindole M9,C9H9N,139.096195,2.05
1312,indole-3-carboxylic acid M0,C9H7NO2,160.04,4.17
1313,indole-3-carboxylic acid M1,C9H7NO2,161.043355,4.17
1314,indole-3-carboxylic acid M2,C9H7NO2,162.04671,4.17
1315,indole-3-carboxylic acid M3,C9H7NO2,163.050065,4.17
1316,indole-3-carboxylic acid M4,C9H7NO2,164.05342,4.17
1317,indole-3-carboxylic acid M5,C9H7NO2,165.056775,4.17
1318,indole-3-carboxylic acid M6,C9H7NO2,166.06013,4.17
1319,indole-3-carboxylic acid M7,C9H7NO2,167.063485,4.17
1320,indole-3-carboxylic acid M8,C9H7NO2,168.06683999999998,4.17
1321,indole-3-carboxylic acid M9,C9H7NO2,169.07019499999998,4.17
1322,indoxyl sulfate M0,C8H7NO4S,212.002,3.61
1323,indoxyl sulfate M1,C8H7NO4S,213.005355,3.61
1324,indoxyl sulfate M2,C8H7NO4S,214.00871,3.61
1325,indoxyl sulfate M3,C8H7NO4S,215.012065,3.61
1326,indoxyl sulfate M4,C8H7NO4S,216.01542,3.61
1327,indoxyl sulfate M5,C8H7NO4S,217.018775,3.61
1328,indoxyl sulfate M6,C8H7NO4S,218.02213,3.61
1329,indoxyl sulfate M7,C8H7NO4S,219.025485,3.61
1330,indoxyl sulfate M8,C8H7NO4S,220.02884,3.61
1331,tryptophol M0,C10H11NO,160.077,2.16
1332,tryptophol M1,C10H11NO,161.080355,2.16
1333,tryptophol M2,C10H11NO,162.08371,2.16
1334,tryptophol M3,C10H11NO,163.087065,2.16
1335,tryptophol M4,C10H11NO,164.09042,2.16
1336,tryptophol M5,C10H11NO,165.093775,2.16
1337,tryptophol M6,C10H11NO,166.09713,2.16
1338,tryptophol M7,C10H11NO,167.100485,2.16
1339,tryptophol M8,C10H11NO,168.10384,2.16
1340,tryptophol M9,C10H11NO,169.107195,2.16
1341,tryptophol M10,C10H11NO,170.11055,2.16
1342,3-hydroxybutyrate M0,C4H8O3,103.04,4.64
1343,3-hydroxybutyrate M1,C4H8O3,104.043355,4.64
1344,3-hydroxybutyrate M2,C4H8O3,105.04671,4.64
1345,3-hydroxybutyrate M3,C4H8O3,106.050065,4.64
1346,3-hydroxybutyrate M4,C4H8O3,107.05342,4.64
1347,FICZ M0,C19H12N2O,283.088,2.49
1348,FICZ M1,C19H12N2O,284.091355,2.49
1349,FICZ M2,C19H12N2O,285.09471,2.49
1350,FICZ M3,C19H12N2O,286.098065,2.49
1351,FICZ M4,C19H12N2O,287.10142,2.49
1352,FICZ M5,C19H12N2O,288.104775,2.49
1353,FICZ M6,C19H12N2O,289.10813,2.49
1354,FICZ M7,C19H12N2O,290.111485,2.49
1355,FICZ M8,C19H12N2O,291.11484,2.49
1356,FICZ M9,C19H12N2O,292.118195,2.49
1357,FICZ M10,C19H12N2O,293.12155,2.49
1358,FICZ M11,C19H12N2O,294.124905,2.49
1359,FICZ M12,C19H12N2O,295.12826,2.49
1360,FICZ M13,C19H12N2O,296.131615,2.49
1361,FICZ M14,C19H12N2O,297.13497,2.49
1362,FICZ M15,C19H12N2O,298.138325,2.49
1363,FICZ M16,C19H12N2O,299.14168,2.49
1364,FICZ M17,C19H12N2O,300.145035,2.49
1365,FICZ M18,C19H12N2O,301.14839,2.49
1366,FICZ M19,C19H12N2O,302.151745,2.49
1367,indoxyl glucuronide M0,C14H15NO7,308.078,5.2
1368,indoxyl glucuronide M1,C14H15NO7,309.081355,5.2
1369,indoxyl glucuronide M2,C14H15NO7,310.08471,5.2
1370,indoxyl glucuronide M3,C14H15NO7,311.088065,5.2
1371,indoxyl glucuronide M4,C14H15NO7,312.09141999999997,5.2
1372,indoxyl glucuronide M5,C14H15NO7,313.09477499999997,5.2
1373,indoxyl glucuronide M6,C14H15NO7,314.09812999999997,5.2
1374,indoxyl glucuronide M7,C14H15NO7,315.10148499999997,5.2
1375,indoxyl glucuronide M8,C14H15NO7,316.10483999999997,5.2
1376,indoxyl glucuronide M9,C14H15NO7,317.10819499999997,5.2
1377,indoxyl glucuronide M10,C14H15NO7,318.11154999999997,5.2
1378,indoxyl glucuronide M11,C14H15NO7,319.11490499999996,5.2
1379,indoxyl glucuronide M12,C14H15NO7,320.11825999999996,5.2
1380,indoxyl glucuronide M13,C14H15NO7,321.12161499999996,5.2
1381,indoxyl glucuronide M14,C14H15NO7,322.12496999999996,5.2
1382,3-hydroxyanthranilic acid M0,C7H7NO3,152.035,5.29
1383,3-hydroxyanthranilic acid M1,C7H7NO3,153.038355,5.29
1384,3-hydroxyanthranilic acid M2,C7H7NO3,154.04171,5.29
1385,3-hydroxyanthranilic acid M3,C7H7NO3,155.045065,5.29
1386,3-hydroxyanthranilic acid M4,C7H7NO3,156.04842,5.29
1387,3-hydroxyanthranilic acid M5,C7H7NO3,157.051775,5.29
1388,3-hydroxyanthranilic acid M6,C7H7NO3,158.05513,5.29
1389,3-hydroxyanthranilic acid M7,C7H7NO3,159.058485,5.29
1390,3-indoleacrylic acid M0,C11H9NO2,186.056,3.06
1391,3-indoleacrylic acid M1,C11H9NO2,187.059355,3.06
1392,3-indoleacrylic acid M2,C11H9NO2,188.06271,3.06
1393,3-indoleacrylic acid M3,C11H9NO2,189.066065,3.06
1394,3-indoleacrylic acid M4,C11H9NO2,190.06942,3.06
1395,3-indoleacrylic acid M5,C11H9NO2,191.072775,3.06
1396,3-indoleacrylic acid M6,C11H9NO2,192.07613,3.06
1397,3-indoleacrylic acid M7,C11H9NO2,193.079485,3.06
1398,3-indoleacrylic acid M8,C11H9NO2,194.08284,3.06
1399,3-indoleacrylic acid M9,C11H9NO2,195.086195,3.06
1400,3-indoleacrylic acid M10,C11H9NO2,196.08955,3.06
1401,3-indoleacrylic acid M11,C11H9NO2,197.092905,3.06
1402,cinnabarinic acid M0,C14H8N2O6,301.046,2.57
1403,cinnabarinic acid M1,C14H8N2O6,302.049355,2.57
1404,cinnabarinic acid M2,C14H8N2O6,303.05271,2.57
1405,cinnabarinic acid M3,C14H8N2O6,304.056065,2.57
1406,cinnabarinic acid M4,C14H8N2O6,305.05942,2.57
1407,cinnabarinic acid M5,C14H8N2O6,306.062775,2.57
1408,cinnabarinic acid M6,C14H8N2O6,307.06613,2.57
1409,cinnabarinic acid M7,C14H8N2O6,308.069485,2.57
1410,cinnabarinic acid M8,C14H8N2O6,309.07284,2.57
1411,cinnabarinic acid M9,C14H8N2O6,310.076195,2.57
1412,cinnabarinic acid M10,C14H8N2O6,311.07955,2.57
1413,cinnabarinic acid M11,C14H8N2O6,312.082905,2.57
1414,cinnabarinic acid M12,C14H8N2O6,313.08626,2.57
1415,cinnabarinic acid M13,C14H8N2O6,314.089615,2.57
1416,cinnabarinic acid M14,C14H8N2O6,315.09297,2.57
1417,indole-3-lactic acid M0,C11H11NO3,206.081,3.21
1418,indole-3-lactic acid M1,C11H11NO3,207.084355,3.21
1419,indole-3-lactic acid M2,C11H11NO3,208.08771,3.21
1420,indole-3-lactic acid M3,C11H11NO3,209.091065,3.21
1421,indole-3-lactic acid M4,C11H11NO3,210.09441999999999,3.21
1422,indole-3-lactic acid M5,C11H11NO3,211.09777499999998,3.21
1423,indole-3-lactic acid M6,C11H11NO3,212.10112999999998,3.21
1424,indole-3-lactic acid M7,C11H11NO3,213.10448499999998,3.21
1425,indole-3-lactic acid M8,C11H11NO3,214.10783999999998,3.21
1426,indole-3-lactic acid M9,C11H11NO3,215.11119499999998,3.21
1427,indole-3-lactic acid M10,C11H11NO3,216.11454999999998,3.21
1428,indole-3-lactic acid M11,C11H11NO3,217.11790499999998,3.21
1429,allopurinol M0,C5H4N4O,135.031,3.39
1430,allopurinol M1,C5H4N4O,136.034355,3.39
1431,allopurinol M2,C5H4N4O,137.03771,3.39
1432,allopurinol M3,C5H4N4O,138.041065,3.39
1433,allopurinol M4,C5H4N4O,139.04442,3.39
1434,allopurinol M5,C5H4N4O,140.047775,3.39
